"","Site","scientific_name","abundance","Dev_10","Dev_1","BodySize","LHSCategory","VoltinismCategory","LarvalHabitatCategory","meanLight","max_lat_dif","min_lat_dif","med_lat_dif","temp_niche","precip_niche"
"77","Biva","Camponotus castaneus",3,0.381,0.235,8.5,"Omnivore","Not Univoltine","Host Organisms",2.25,9.8408,1.0152,6.8397,2.70314198222109,273.751110115399
"78","Biva","Camponotus floridanus",4,0.381,0.235,8.5,"Omnivore","Not Univoltine","Host Organisms",2.25,0.732980000000001,-3.9084,-1.571,1.52888679655237,284.280602022702
"79","Biva","Chauliodes rastricornis",18,0.381,0.235,35,"Omnivore","Not Univoltine","Freshwater",2.25,15.3888,0.50817,11.50765,5.56048912330953,291.847088130276
"80","Biva","Climaciella brunnea",0,0.381,0.235,26.5,"Carnivore","Not Univoltine","Host Organisms",2.25,15.8374,-0.915580000000002,12.9686,5.79016226542306,349.628933973009
"81","Biva","Corydalus cornutus",1,0.381,0.235,54,"Omnivore","Univoltine","Freshwater",2.25,13.57158,3.43488,9.12105,3.58902295859509,292.210610905175
"82","Biva","Cybister fimbriolatus",1,0.381,0.235,29.5,"Carnivore","Univoltine","Freshwater",2.25,10.94483,-2.01133,2.3079,4.37409158141484,302.489078143259
"83","Biva","Dichotomius carolinus",0,0.381,0.235,25,"Detrivore","Univoltine","Above Ground",2.25,9.3372,-10.2733,5.39725,3.65663269719457,396.21725352025
"84","Biva","Draeculacephala inscripta",2,0.381,0.235,7,"Herbivore","Not Univoltine","Above Ground",2.25,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,295.796632813146
"85","Biva","Euphoria sepulcralis",0,0.381,0.235,11.5,"Herbivore","Univoltine","Below Ground",2.25,9.31407,-3.68085,1.28645,4.11737973649321,340.537828593612
"86","Biva","Harmonia axyridis",0,0.381,0.235,6.5,"Carnivore","Not Univoltine","Above Ground",2.25,23.651,4.03536,20.8802,3.38686926770789,277.924991005868
"87","Biva","Hydaticus bimarginatus",77,0.381,0.235,12.5,"Carnivore","Univoltine","Freshwater",2.25,5.57985,-2.53645,0.366,2.72966155181667,299.02500857854
"88","Biva","Lethocerus uhleri",3,0.381,0.235,48.5,"Carnivore","Not Univoltine","Freshwater",2.25,6.22652,-1.7319,0.8414,2.7671874650017,345.273108924664
"89","Biva","Lytta polita",1,0.381,0.235,17.5,"Carnivore","Univoltine","Host Organisms",2.25,5.9363,-0.704600000000003,1.14695,2.48075707591434,290.870115976691
"90","Biva","Megalodacne fasciata",2,0.381,0.235,12.5,"Herbivore","Not Univoltine","Host Organisms",2.25,11.83046,0.611499999999999,7.5829,3.83326820048752,256.445013318785
"91","Biva","Melanolestes picipes",0,0.381,0.235,11,"Carnivore","Not Univoltine","Below Ground",2.25,9.55308,0.487159999999999,5.7128,3.39666351239846,327.487621986782
"92","Biva","Necrophila americana",0,0.381,0.235,16.5,"Detrivore","Not Univoltine","Host Organisms",2.25,15.9427,6.2585,11.523,3.80821859782521,266.957175399518
"93","Biva","Neoconocephalus triops",0,0.381,0.235,32,"Herbivore","Not Univoltine","Above Ground",2.25,5.6516,-7.64649,0.15635,3.19138737794444,424.368878538884
"94","Biva","Neoscapteriscus borellii",0,0.381,0.235,30,"Omnivore","Not Univoltine","Below Ground",2.25,4.62694,-1.57872,0.946449999999999,2.20337551694139,320.93795211699
"95","Biva","Pelidnota punctata",1,0.381,0.235,22,"Detrivore","Univoltine","Host Organisms",2.25,14.11112,1.96209,10.41015,4.09059633533247,272.62521861406
"96","Biva","Periplaneta americana",1,0.381,0.235,38,"Omnivore","Not Univoltine","Above Ground",2.25,9.72851,-36.99468,1.03355,4.56932518402754,508.419954889028
"97","Biva","Phileurus truncatus",0,0.381,0.235,35,"Detrivore","Univoltine","Host Organisms",2.25,6.31028,-10.40278,3.7026,2.61350928156564,546.728028855899
"98","Biva","Phileurus valgus",1,0.381,0.235,23,"Detrivore","Not Univoltine","Host Organisms",2.25,6.5085,-15.0894,0.609099999999998,3.7920613129831,497.619218842183
"99","Biva","Plecia nearctica",19,0.381,0.235,7.5,"Herbivore","Not Univoltine","Below Ground",2.25,2.34642,-1.81964,0.0626999999999995,1.59074136044725,313.352335538093
"100","Biva","Prionus imbricornis",0,0.381,0.235,37.5,"Herbivore","Univoltine","Host Organisms",2.25,8.64517999999999,0.86712,5.53875,2.4664116272022,310.152438098297
"101","Biva","Prionus pocularis",1,0.381,0.235,34.5,"Herbivore","Univoltine","Host Organisms",2.25,11.89206,-0.938039999999997,3.6192,4.31687260982908,327.983950494135
"102","Biva","Prosapia bicincta",27,0.381,0.235,9,"Herbivore","Not Univoltine","Above Ground",2.25,9.46683999999999,0.085799999999999,4.5966,3.31050438189458,318.81913099813
"103","Biva","Rhiginia cruciata",0,0.381,0.235,14,"Carnivore","Not Univoltine","Above Ground",2.25,10.43586,0.30462,7.5535,3.48862301927955,302.168218034342
"104","Biva","Tabanus atratus",0,0.381,0.235,26.5,"Carnivore","Not Univoltine","Freshwater",2.25,13.74687,-0.132200000000001,6.63105,5.11785260863528,294.030786887696
"105","Biva","Tylozygus geometricus",0,0.381,0.235,4,"Herbivore","Univoltine","Above Ground",2.25,9.63652,-20.11294,2.6939,4.64005454765443,854.354090378816
"106","Bowa","Acanalonia servillei",1,0.278,0.132,14.5,"Herbivore","Univoltine","Above Ground",0.011,6.20156,-2.34538,1.3495,2.80678470007634,264.183524026493
"107","Bowa","Alcaeorrhynchus grandis",0,0.278,0.132,20,"Carnivore","Not Univoltine","Above Ground",0.011,3.23802,-23.3995,-0.0340000000000025,2.7782680030953,453.636734202687
"108","Bowa","Anomala innuba",0,0.278,0.132,7.5,"Herbivore","Not Univoltine","Below Ground",0.011,9.44282,-3.06142,3.2674,4.16178885458884,337.070391903439
"109","Bowa","Blattella asahinai",0,0.278,0.132,14.5,"Herbivore","Not Univoltine","Above Ground",0.011,2.6963,-8.83475,0.400400000000001,3.35753476865113,440.045563829036
"110","Bowa","Callistethus marginatus",7,0.278,0.132,13.5,"Herbivore","Not Univoltine","Below Ground",0.011,7.34624000000001,-3.52616,1.3,3.75201818112293,342.337907793932
"111","Bowa","Calosoma scrutator",0,0.278,0.132,30,"Carnivore","Univoltine","Above Ground",0.011,10.0707,0.00329999999999941,4.11079999999999,3.41396642324634,332.58431414496
"112","Bowa","Camponotus castaneus",1,0.278,0.132,8.5,"Omnivore","Not Univoltine","Host Organisms",0.011,9.8408,1.0152,6.8397,2.70314198222109,273.751110115399
"113","Bowa","Camponotus floridanus",8,0.278,0.132,8.5,"Omnivore","Not Univoltine","Host Organisms",0.011,0.732980000000001,-3.9084,-1.571,1.52888679655237,284.280602022702
"114","Bowa","Chauliodes rastricornis",9,0.278,0.132,35,"Omnivore","Not Univoltine","Freshwater",0.011,15.3888,0.50817,11.50765,5.56048912330953,291.847088130276
"115","Bowa","Climaciella brunnea",0,0.278,0.132,26.5,"Carnivore","Not Univoltine","Host Organisms",0.011,15.8374,-0.915580000000002,12.9686,5.79016226542306,349.628933973009
"116","Bowa","Corydalus cornutus",0,0.278,0.132,54,"Omnivore","Univoltine","Freshwater",0.011,13.57158,3.43488,9.12105,3.58902295859509,292.210610905175
"117","Bowa","Cybister fimbriolatus",10,0.278,0.132,29.5,"Carnivore","Univoltine","Freshwater",0.011,10.94483,-2.01133,2.3079,4.37409158141484,302.489078143259
"118","Bowa","Dichotomius carolinus",1,0.278,0.132,25,"Detrivore","Univoltine","Above Ground",0.011,9.3372,-10.2733,5.39725,3.65663269719457,396.21725352025
"119","Bowa","Draeculacephala inscripta",7,0.278,0.132,7,"Herbivore","Not Univoltine","Above Ground",0.011,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,295.796632813146
"120","Bowa","Euphoria sepulcralis",0,0.278,0.132,11.5,"Herbivore","Univoltine","Below Ground",0.011,9.31407,-3.68085,1.28645,4.11737973649321,340.537828593612
"121","Bowa","Harmonia axyridis",0,0.278,0.132,6.5,"Carnivore","Not Univoltine","Above Ground",0.011,23.651,4.03536,20.8802,3.38686926770789,277.924991005868
"122","Bowa","Hydaticus bimarginatus",41,0.278,0.132,12.5,"Carnivore","Univoltine","Freshwater",0.011,5.57985,-2.53645,0.366,2.72966155181667,299.02500857854
"123","Bowa","Lethocerus uhleri",1,0.278,0.132,48.5,"Carnivore","Not Univoltine","Freshwater",0.011,6.22652,-1.7319,0.8414,2.7671874650017,345.273108924664
"124","Bowa","Lytta polita",1,0.278,0.132,17.5,"Carnivore","Univoltine","Host Organisms",0.011,5.9363,-0.704600000000003,1.14695,2.48075707591434,290.870115976691
"125","Bowa","Megalodacne fasciata",0,0.278,0.132,12.5,"Herbivore","Not Univoltine","Host Organisms",0.011,11.83046,0.611499999999999,7.5829,3.83326820048752,256.445013318785
"126","Bowa","Melanolestes picipes",0,0.278,0.132,11,"Carnivore","Not Univoltine","Below Ground",0.011,9.55308,0.487159999999999,5.7128,3.39666351239846,327.487621986782
"127","Bowa","Necrophila americana",2,0.278,0.132,16.5,"Detrivore","Not Univoltine","Host Organisms",0.011,15.9427,6.2585,11.523,3.80821859782521,266.957175399518
"128","Bowa","Neoconocephalus triops",0,0.278,0.132,32,"Herbivore","Not Univoltine","Above Ground",0.011,5.6516,-7.64649,0.15635,3.19138737794444,424.368878538884
"129","Bowa","Neoscapteriscus borellii",0,0.278,0.132,30,"Omnivore","Not Univoltine","Below Ground",0.011,4.62694,-1.57872,0.946449999999999,2.20337551694139,320.93795211699
"130","Bowa","Pelidnota punctata",4,0.278,0.132,22,"Detrivore","Univoltine","Host Organisms",0.011,14.11112,1.96209,10.41015,4.09059633533247,272.62521861406
"131","Bowa","Periplaneta americana",0,0.278,0.132,38,"Omnivore","Not Univoltine","Above Ground",0.011,9.72851,-36.99468,1.03355,4.56932518402754,508.419954889028
"132","Bowa","Phileurus truncatus",0,0.278,0.132,35,"Detrivore","Univoltine","Host Organisms",0.011,6.31028,-10.40278,3.7026,2.61350928156564,546.728028855899
"133","Bowa","Phileurus valgus",4,0.278,0.132,23,"Detrivore","Not Univoltine","Host Organisms",0.011,6.5085,-15.0894,0.609099999999998,3.7920613129831,497.619218842183
"134","Bowa","Plecia nearctica",35,0.278,0.132,7.5,"Herbivore","Not Univoltine","Below Ground",0.011,2.34642,-1.81964,0.0626999999999995,1.59074136044725,313.352335538093
"135","Bowa","Prionus imbricornis",14,0.278,0.132,37.5,"Herbivore","Univoltine","Host Organisms",0.011,8.64517999999999,0.86712,5.53875,2.4664116272022,310.152438098297
"136","Bowa","Prionus pocularis",1,0.278,0.132,34.5,"Herbivore","Univoltine","Host Organisms",0.011,11.89206,-0.938039999999997,3.6192,4.31687260982908,327.983950494135
"137","Bowa","Prosapia bicincta",57,0.278,0.132,9,"Herbivore","Not Univoltine","Above Ground",0.011,9.46683999999999,0.085799999999999,4.5966,3.31050438189458,318.81913099813
"138","Bowa","Rhiginia cruciata",0,0.278,0.132,14,"Carnivore","Not Univoltine","Above Ground",0.011,10.43586,0.30462,7.5535,3.48862301927955,302.168218034342
"139","Bowa","Tabanus atratus",0,0.278,0.132,26.5,"Carnivore","Not Univoltine","Freshwater",0.011,13.74687,-0.132200000000001,6.63105,5.11785260863528,294.030786887696
"140","Bowa","Tylozygus geometricus",0,0.278,0.132,4,"Herbivore","Univoltine","Above Ground",0.011,9.63652,-20.11294,2.6939,4.64005454765443,854.354090378816
"141","Cofr","Acanalonia servillei",5,0.58,0.756,14.5,"Herbivore","Univoltine","Above Ground",1.209375,6.20156,-2.34538,1.3495,2.80678470007634,264.183524026493
"142","Cofr","Alcaeorrhynchus grandis",0,0.58,0.756,20,"Carnivore","Not Univoltine","Above Ground",1.209375,3.23802,-23.3995,-0.0340000000000025,2.7782680030953,453.636734202687
"143","Cofr","Anomala innuba",5,0.58,0.756,7.5,"Herbivore","Not Univoltine","Below Ground",1.209375,9.44282,-3.06142,3.2674,4.16178885458884,337.070391903439
"144","Cofr","Blattella asahinai",0,0.58,0.756,14.5,"Herbivore","Not Univoltine","Above Ground",1.209375,2.6963,-8.83475,0.400400000000001,3.35753476865113,440.045563829036
"145","Cofr","Callistethus marginatus",38,0.58,0.756,13.5,"Herbivore","Not Univoltine","Below Ground",1.209375,7.34624000000001,-3.52616,1.3,3.75201818112293,342.337907793932
"146","Cofr","Calosoma scrutator",0,0.58,0.756,30,"Carnivore","Univoltine","Above Ground",1.209375,10.0707,0.00329999999999941,4.11079999999999,3.41396642324634,332.58431414496
"147","Cofr","Camponotus castaneus",1,0.58,0.756,8.5,"Omnivore","Not Univoltine","Host Organisms",1.209375,9.8408,1.0152,6.8397,2.70314198222109,273.751110115399
"148","Cofr","Camponotus floridanus",2,0.58,0.756,8.5,"Omnivore","Not Univoltine","Host Organisms",1.209375,0.732980000000001,-3.9084,-1.571,1.52888679655237,284.280602022702
"149","Cofr","Chauliodes rastricornis",3,0.58,0.756,35,"Omnivore","Not Univoltine","Freshwater",1.209375,15.3888,0.50817,11.50765,5.56048912330953,291.847088130276
"150","Cofr","Climaciella brunnea",0,0.58,0.756,26.5,"Carnivore","Not Univoltine","Host Organisms",1.209375,15.8374,-0.915580000000002,12.9686,5.79016226542306,349.628933973009
"151","Cofr","Corydalus cornutus",0,0.58,0.756,54,"Omnivore","Univoltine","Freshwater",1.209375,13.57158,3.43488,9.12105,3.58902295859509,292.210610905175
"152","Cofr","Cybister fimbriolatus",9,0.58,0.756,29.5,"Carnivore","Univoltine","Freshwater",1.209375,10.94483,-2.01133,2.3079,4.37409158141484,302.489078143259
"153","Cofr","Dichotomius carolinus",0,0.58,0.756,25,"Detrivore","Univoltine","Above Ground",1.209375,9.3372,-10.2733,5.39725,3.65663269719457,396.21725352025
"154","Cofr","Draeculacephala inscripta",0,0.58,0.756,7,"Herbivore","Not Univoltine","Above Ground",1.209375,8.68032000000001,-0.627460000000003,0.811699999999998,3.61521297776219,295.796632813146
"155","Cofr","Euphoria sepulcralis",0,0.58,0.756,11.5,"Herbivore","Univoltine","Below Ground",1.209375,9.31407,-3.68085,1.28645,4.11737973649321,340.537828593612
"156","Cofr","Harmonia axyridis",0,0.58,0.756,6.5,"Carnivore","Not Univoltine","Above Ground",1.209375,23.651,4.03536,20.8802,3.38686926770789,277.924991005868
